edon,seccion,munn,escenario1,escenario2,escenario3,pan_clv1,pan_clv2
27,1,1,18,6,6,6,6
27,2,1,18,6,6,6,6
27,3,1,18,6,6,6,6
27,4,1,18,6,6,6,6
27,5,1,18,6,6,6,6
27,6,1,18,6,6,6,6
27,7,1,18,6,6,6,6
27,8,1,18,6,6,6,6
27,9,1,18,6,6,6,6
27,10,1,18,6,6,6,6
27,11,1,18,6,6,6,6
27,12,1,18,6,6,6,6
27,13,1,18,6,6,6,6
27,14,1,18,6,6,6,6
27,15,1,18,6,6,6,6
27,16,1,18,6,6,6,6
27,17,1,18,6,6,6,6
27,18,1,18,6,6,6,6
27,19,1,18,6,6,6,6
27,20,1,18,6,6,6,6
27,21,1,18,6,6,6,6
27,22,1,18,6,6,6,6
27,23,1,18,6,6,6,6
27,24,1,18,6,6,6,6
27,25,1,18,6,6,6,6
27,27,1,18,6,6,6,6
27,28,1,18,6,6,6,6
27,29,1,18,6,6,6,6
27,30,1,18,6,6,6,6
27,31,1,18,6,6,6,6
27,32,1,18,6,6,6,6
27,33,1,18,6,6,6,6
27,34,1,18,6,6,6,6
27,35,1,18,6,6,6,6
27,36,1,18,6,6,6,6
27,37,1,18,6,6,6,6
27,38,1,18,6,6,6,6
27,39,1,18,6,6,6,6
27,40,1,18,6,6,6,6
27,41,1,18,6,6,6,6
27,42,1,18,6,6,6,6
27,43,1,18,6,6,6,6
27,44,1,18,6,6,6,6
27,45,1,18,6,6,6,6
27,46,2,11,3,3,3,3
27,47,2,11,3,3,3,3
27,48,2,11,3,3,3,3
27,49,2,11,3,3,3,3
27,50,2,11,3,3,3,3
27,51,2,11,3,3,3,3
27,52,2,11,3,3,3,3
27,53,2,11,3,3,3,3
27,54,2,11,3,3,3,3
27,55,2,11,3,3,3,3
27,56,2,11,3,3,3,3
27,57,2,11,3,3,3,3
27,58,2,11,3,3,3,3
27,59,2,11,3,3,3,3
27,60,2,11,3,3,3,3
27,61,2,11,3,3,3,3
27,62,2,11,3,3,3,3
27,63,2,11,3,3,3,3
27,64,2,11,3,3,3,3
27,65,2,11,3,3,3,3
27,66,2,11,3,3,3,3
27,67,2,11,3,3,3,3
27,68,2,11,3,3,3,3
27,69,2,11,3,3,3,3
27,70,2,11,3,3,3,3
27,71,2,8,3,3,3,3
27,72,2,8,3,3,3,3
27,73,2,8,3,3,3,3
27,74,2,11,3,3,3,3
27,75,2,11,3,3,3,3
27,76,2,11,3,3,3,3
27,77,2,11,3,3,3,3
27,78,2,11,3,3,3,3
27,79,2,11,3,3,3,3
27,80,2,8,3,3,3,3
27,81,2,8,3,3,3,3
27,82,2,11,3,3,3,3
27,83,2,11,3,3,3,3
27,84,2,11,3,3,3,3
27,85,2,11,3,3,3,3
27,86,2,8,3,3,3,3
27,87,2,8,3,3,3,3
27,88,2,11,3,3,3,3
27,89,2,8,3,3,3,3
27,90,2,9,4,4,4,4
27,91,2,9,4,4,4,4
27,92,2,10,4,4,4,4
27,93,2,9,4,4,4,4
27,94,2,9,4,4,4,4
27,95,2,9,4,4,4,4
27,96,2,9,4,4,4,4
27,97,2,9,4,4,4,4
27,98,2,9,4,4,4,4
27,99,2,9,4,4,4,4
27,100,2,9,4,4,4,4
27,101,2,10,2,2,2,2
27,102,2,10,2,2,2,2
27,103,2,9,4,4,4,4
27,104,2,9,4,4,4,4
27,105,2,9,4,4,4,4
27,106,2,9,4,4,4,4
27,107,2,9,2,2,2,2
27,108,2,9,4,4,4,4
27,109,2,9,4,4,4,4
27,110,2,9,4,4,4,4
27,111,2,9,4,4,4,4
27,112,2,10,2,2,2,2
27,113,2,10,2,2,2,2
27,114,2,10,2,2,2,2
27,115,2,10,2,2,2,2
27,116,2,10,2,2,2,2
27,117,2,9,4,4,4,4
27,118,2,9,4,4,4,4
27,119,2,9,4,4,4,4
27,120,2,9,4,4,4,4
27,121,2,9,4,4,4,4
27,122,2,9,4,4,4,4
27,123,2,9,4,4,4,4
27,124,2,9,4,4,4,4
27,125,2,9,4,4,4,4
27,126,2,9,2,2,2,2
27,127,2,9,4,4,4,4
27,128,2,9,2,2,2,2
27,129,2,9,4,4,4,4
27,130,2,9,4,4,4,4
27,131,2,9,4,4,4,4
27,132,2,9,4,4,4,4
27,133,2,9,4,4,4,4
27,134,2,9,4,4,4,4
27,135,2,9,2,2,2,2
27,136,2,9,4,4,4,4
27,137,2,11,4,4,4,4
27,138,2,11,4,4,4,4
27,139,2,11,4,4,4,4
27,140,2,11,4,4,4,4
27,141,2,9,2,2,2,2
27,142,2,9,2,2,2,2
27,143,2,9,2,2,2,2
27,144,2,9,4,4,4,4
27,145,2,11,4,4,4,4
27,146,2,11,4,4,4,4
27,147,2,11,4,4,4,4
27,148,2,11,4,4,4,4
27,149,2,11,4,4,4,4
27,150,2,11,4,4,4,4
27,151,2,11,4,4,4,4
