"dist_new","seccionn","dist_old","father14","dsi"
1,1,1,1,1
1,2,1,1,1
1,3,1,1,1
1,4,1,1,1
1,5,1,1,1
1,6,1,1,1
1,7,1,1,1
1,8,1,1,1
1,9,1,1,1
1,10,1,1,1
1,11,1,1,1
1,12,1,1,1
1,13,1,1,1
1,14,1,1,1
1,15,1,1,1
1,16,1,1,1
1,17,1,1,1
1,18,1,1,1
1,19,1,1,1
1,20,1,1,1
1,21,1,1,1
1,22,1,1,1
1,23,1,1,1
1,24,1,1,1
1,25,1,1,1
1,26,1,1,1
1,27,1,1,1
1,28,1,1,1
1,29,1,1,1
1,30,1,1,1
1,31,1,1,1
1,32,1,1,1
1,33,1,1,1
1,34,1,1,1
1,35,1,1,1
1,36,1,1,1
1,37,1,1,1
1,38,1,1,1
1,39,1,1,1
1,40,1,1,1
1,41,1,1,1
1,42,1,1,1
1,43,1,1,1
1,44,1,1,1
1,45,1,1,1
1,46,1,1,1
1,47,1,1,1
1,48,1,1,1
18,49,18,18,1
18,50,18,18,1
18,51,18,18,1
18,52,18,18,1
18,53,18,18,1
18,54,18,18,1
18,55,18,18,1
18,56,18,18,1
18,57,18,18,1
18,58,18,18,1
18,59,18,18,1
18,60,18,18,1
18,61,18,18,1
18,62,18,18,1
18,63,18,18,1
18,64,18,18,1
18,65,18,18,1
18,66,18,18,1
18,67,18,18,1
18,68,18,18,1
18,69,18,18,1
18,70,18,18,1
18,71,18,18,1
18,72,18,18,1
18,73,18,18,1
18,74,18,18,1
18,75,18,18,1
18,76,18,18,1
18,77,18,18,1
18,78,18,18,1
18,79,18,18,1
18,80,18,18,1
18,81,18,18,1
18,82,18,18,1
18,83,18,18,1
18,84,18,18,1
18,86,18,18,1
18,87,18,18,1
18,88,18,18,1
18,89,18,18,1
3,90,3,3,1
4,91,4,4,1
4,92,4,4,1
4,93,4,4,1
4,94,4,4,1
4,95,4,4,1
4,96,4,4,1
4,97,4,4,1
4,98,4,4,1
4,99,4,4,1
4,100,4,4,1
4,101,4,4,1
4,102,4,4,1
4,103,4,4,1
4,104,4,4,1
4,105,4,4,1
4,106,4,4,1
4,107,4,4,1
4,108,4,4,1
4,109,4,4,1
4,110,4,4,1
4,111,4,4,1
4,112,4,4,1
4,113,4,4,1
4,114,4,4,1
4,115,4,4,1
3,116,3,3,1
3,117,3,3,1
3,118,3,3,1
3,119,3,3,1
3,120,3,3,1
3,121,3,3,1
3,122,3,3,1
3,123,3,3,1
13,124,13,13,1
13,125,13,13,1
13,126,13,13,1
13,127,13,13,1
13,128,13,13,1
13,129,13,13,1
13,130,13,13,1
13,131,13,13,1
13,132,13,13,1
13,133,13,13,1
13,134,13,13,1
13,135,13,13,1
13,136,13,13,1
13,137,13,13,1
13,138,13,13,1
14,139,14,14,1
13,140,13,13,1
13,141,13,13,1
13,142,13,13,1
13,143,13,13,1
14,144,14,14,1
14,145,14,14,1
14,146,14,14,1
14,147,14,14,1
14,148,14,14,1
14,149,14,14,1
14,150,14,14,1
14,151,14,14,1
14,152,14,14,1
13,153,13,13,1
14,154,14,14,1
13,155,13,13,1
13,156,13,13,1
13,157,13,13,1
14,158,14,14,1
14,159,14,14,1
14,160,14,14,1
13,161,13,13,1
13,162,13,13,1
13,163,13,13,1
13,164,13,13,1
13,165,13,13,1
13,166,13,13,1
13,167,13,13,1
13,168,13,13,1
13,169,13,13,1
13,170,13,13,1
13,171,13,13,1
13,172,13,13,1
13,173,13,13,1
13,174,13,13,1
13,175,13,13,1
13,176,13,13,1
13,177,13,13,1
13,178,13,13,1
13,179,13,13,1
13,180,13,13,1
13,181,13,13,1
13,182,13,13,1
13,183,13,13,1
13,184,13,13,1
13,185,13,13,1
13,186,13,13,1
13,187,13,13,1
13,188,13,13,1
13,189,13,13,1
13,190,13,13,1
13,191,13,13,1
13,192,13,13,1
13,193,13,13,1
13,194,13,13,1
13,195,13,13,1
1,196,1,1,1
1,197,1,1,1
1,198,1,1,1
1,199,1,1,1
1,200,1,1,1
1,201,1,1,1
1,202,1,1,1
1,203,1,1,1
1,204,1,1,1
1,205,1,1,1
1,206,1,1,1
1,207,1,1,1
1,208,1,1,1
1,209,1,1,1
1,210,1,1,1
1,211,1,1,1
1,212,1,1,1
1,213,1,1,1
1,214,1,1,1
18,215,18,18,1
18,216,18,18,1
18,217,18,18,1
18,218,18,18,1
18,219,18,18,1
18,220,18,18,1
18,221,18,18,1
18,222,18,18,1
18,223,18,18,1
18,224,18,18,1
18,225,18,18,1
18,226,18,18,1
18,227,18,18,1
18,228,18,18,1
18,229,18,18,1
18,230,18,18,1
18,231,18,18,1
18,232,18,18,1
18,233,18,18,1
18,234,18,18,1
18,235,18,18,1
18,236,18,18,1
18,237,18,18,1
18,238,18,18,1
17,239,17,17,1
17,240,17,17,1
17,241,17,17,1
17,242,17,17,1
17,243,17,17,1
17,244,17,17,1
17,245,17,17,1
17,246,17,17,1
17,247,17,17,1
17,248,17,17,1
17,249,17,17,1
17,250,17,17,1
17,251,17,17,1
17,252,17,17,1
17,253,17,17,1
17,254,17,17,1
17,255,17,17,1
17,256,17,17,1
12,257,12,12,1
12,258,12,12,1
12,259,12,12,1
12,260,12,12,1
12,261,12,12,1
12,262,12,12,1
12,263,12,12,1
12,264,12,12,1
12,265,12,12,1
12,266,12,12,1
12,267,12,12,1
12,268,12,12,1
12,269,12,12,1
12,270,12,12,1
12,271,12,12,1
12,272,12,12,1
12,273,12,12,1
12,274,12,12,1
12,275,12,12,1
12,276,12,12,1
1,277,1,1,1
1,278,1,1,1
1,279,1,1,1
1,280,1,1,1
1,281,1,1,1
1,282,1,1,1
2,283,2,2,1
1,284,1,1,1
1,285,1,1,1
2,286,2,2,1
2,287,2,2,1
2,288,2,2,1
2,289,2,2,1
1,290,1,1,1
1,291,1,1,1
1,292,1,1,1
1,293,1,1,1
1,294,1,1,1
1,295,1,1,1
1,296,1,1,1
1,297,1,1,1
2,298,2,2,1
2,299,2,2,1
2,300,2,2,1
2,301,2,2,1
2,302,2,2,1
2,303,2,2,1
2,304,2,2,1
2,305,2,2,1
2,306,2,2,1
2,307,2,2,1
2,308,2,2,1
2,309,2,2,1
2,310,2,2,1
2,311,2,2,1
2,312,2,2,1
2,313,2,2,1
2,314,2,2,1
2,315,2,2,1
1,316,1,1,1
1,317,1,1,1
1,318,1,1,1
1,319,1,1,1
12,320,12,12,1
12,321,12,12,1
12,322,12,12,1
12,323,12,12,1
12,324,12,12,1
12,325,12,12,1
12,326,12,12,1
12,327,12,12,1
12,328,12,12,1
12,329,12,12,1
12,330,12,12,1
12,331,12,12,1
12,332,12,12,1
12,333,12,12,1
12,334,12,12,1
12,335,12,12,1
12,336,12,12,1
12,337,12,12,1
12,338,12,12,1
12,339,12,12,1
12,340,12,12,1
12,341,12,12,1
12,342,12,12,1
12,343,12,12,1
12,344,12,12,1
12,345,12,12,1
12,346,12,12,1
14,347,14,14,1
14,348,14,14,1
14,349,14,14,1
14,350,14,14,1
14,351,14,14,1
14,352,14,14,1
14,353,14,14,1
14,354,14,14,1
14,355,14,14,1
14,356,14,14,1
14,357,14,14,1
14,358,14,14,1
14,359,14,14,1
14,360,14,14,1
14,361,14,14,1
14,362,14,14,1
14,363,14,14,1
14,364,14,14,1
14,365,14,14,1
14,366,14,14,1
14,367,14,14,1
14,368,14,14,1
14,369,14,14,1
14,370,14,14,1
14,371,14,14,1
14,372,14,14,1
14,373,14,14,1
14,374,14,14,1
14,375,14,14,1
14,376,14,14,1
14,377,14,14,1
14,378,14,14,1
14,379,14,14,1
14,380,14,14,1
14,381,14,14,1
14,382,14,14,1
14,383,14,14,1
14,384,14,14,1
14,385,14,14,1
14,386,14,14,1
14,387,14,14,1
14,388,14,14,1
14,389,14,14,1
14,390,14,14,1
14,391,14,14,1
14,392,14,14,1
14,393,14,14,1
14,394,14,14,1
14,395,14,14,1
14,396,14,14,1
14,397,14,14,1
17,398,17,17,1
17,399,17,17,1
17,400,17,17,1
17,401,17,17,1
17,402,17,17,1
17,403,17,17,1
17,404,17,17,1
17,405,17,17,1
17,406,17,17,1
17,407,17,17,1
17,408,17,17,1
17,409,17,17,1
17,410,17,17,1
17,411,17,17,1
17,412,17,17,1
17,413,17,17,1
17,414,17,17,1
17,415,17,17,1
17,416,17,17,1
17,417,17,17,1
17,418,17,17,1
17,419,17,17,1
17,420,17,17,1
17,421,17,17,1
17,422,17,17,1
17,423,17,17,1
17,424,17,17,1
17,425,17,17,1
17,426,17,17,1
17,427,17,17,1
17,428,17,17,1
17,429,17,17,1
17,430,17,17,1
17,431,17,17,1
17,432,17,17,1
17,433,17,17,1
17,434,17,17,1
16,435,16,16,1
16,436,16,16,1
16,437,16,16,1
16,438,16,16,1
16,439,16,16,1
16,440,16,16,1
16,441,16,16,1
16,442,16,16,1
16,443,16,16,1
16,444,16,16,1
16,445,16,16,1
16,446,16,16,1
16,447,16,16,1
16,448,16,16,1
16,449,16,16,1
16,450,16,16,1
16,451,16,16,1
16,452,16,16,1
16,453,16,16,1
16,454,16,16,1
16,455,16,16,1
16,456,16,16,1
15,457,15,15,1
15,458,15,15,1
15,459,15,15,1
15,460,15,15,1
15,461,15,15,1
15,462,15,15,1
15,463,15,15,1
15,464,15,15,1
15,465,15,15,1
15,466,15,15,1
15,467,15,15,1
15,468,15,15,1
15,469,15,15,1
15,470,15,15,1
15,471,15,15,1
15,472,15,15,1
15,473,15,15,1
15,474,15,15,1
16,475,16,16,1
16,476,16,16,1
16,477,16,16,1
16,478,16,16,1
16,479,16,16,1
16,480,16,16,1
16,481,16,16,1
16,482,16,16,1
16,483,16,16,1
16,484,16,16,1
16,485,16,16,1
16,486,16,16,1
16,487,16,16,1
16,488,16,16,1
16,489,16,16,1
16,490,16,16,1
15,491,15,15,1
15,492,15,15,1
15,493,15,15,1
15,494,15,15,1
15,495,15,15,1
15,496,15,15,1
15,497,15,15,1
15,498,15,15,1
15,499,15,15,1
15,500,15,15,1
16,501,16,16,1
15,502,15,15,1
16,503,16,16,1
16,504,16,16,1
16,505,16,16,1
16,506,16,16,1
16,507,16,16,1
16,508,16,16,1
16,509,16,16,1
16,510,16,16,1
16,511,16,16,1
16,512,16,16,1
16,513,16,16,1
16,514,16,16,1
16,515,16,16,1
16,516,16,16,1
16,517,16,16,1
16,518,16,16,1
16,519,16,16,1
16,520,16,16,1
16,521,16,16,1
16,522,16,16,1
16,523,16,16,1
16,524,16,16,1
16,525,16,16,1
16,526,16,16,1
16,527,16,16,1
16,528,16,16,1
16,529,16,16,1
16,530,16,16,1
16,531,16,16,1
15,532,15,15,1
16,533,16,16,1
15,534,15,15,1
15,535,15,15,1
15,536,15,15,1
15,537,15,15,1
15,538,15,15,1
15,539,15,15,1
15,540,15,15,1
15,541,15,15,1
15,542,15,15,1
16,543,16,16,1
16,544,16,16,1
16,545,16,16,1
16,546,16,16,1
2,547,2,2,1
2,548,2,2,1
2,549,2,2,1
2,550,2,2,1
2,551,2,2,1
2,552,2,2,1
2,553,2,2,1
2,554,2,2,1
2,555,2,2,1
2,556,2,2,1
2,557,2,2,1
2,558,2,2,1
2,559,2,2,1
2,560,2,2,1
2,561,2,2,1
2,562,2,2,1
2,563,2,2,1
2,564,2,2,1
2,565,2,2,1
2,566,2,2,1
2,567,2,2,1
2,568,2,2,1
2,569,2,2,1
2,570,2,2,1
2,571,2,2,1
2,572,2,2,1
2,573,2,2,1
2,574,2,2,1
2,575,2,2,1
2,576,2,2,1
2,577,2,2,1
2,578,2,2,1
2,579,2,2,1
2,580,2,2,1
2,581,2,2,1
2,582,2,2,1
2,583,2,2,1
2,584,2,2,1
2,585,2,2,1
2,586,2,2,1
2,587,2,2,1
2,588,2,2,1
2,589,2,2,1
2,590,2,2,1
2,591,2,2,1
2,592,2,2,1
2,593,2,2,1
2,594,2,2,1
2,595,2,2,1
2,596,2,2,1
11,597,11,11,1
9,598,9,9,1
9,599,9,9,1
9,600,9,9,1
9,601,9,9,1
9,602,9,9,1
9,603,9,9,1
9,604,9,9,1
9,605,9,9,1
9,606,9,9,1
9,607,9,9,1
10,610,10,10,1
8,612,8,8,1
8,613,8,8,1
8,614,8,8,1
8,615,8,8,1
8,616,8,8,1
8,617,8,8,1
8,618,8,8,1
8,619,8,8,1
8,620,8,8,1
9,621,9,9,1
9,622,9,9,1
9,623,9,9,1
9,624,9,9,1
9,625,9,9,1
9,626,9,9,1
9,627,9,9,1
9,628,9,9,1
9,629,9,9,1
9,630,9,9,1
9,631,9,9,1
11,632,11,11,1
9,635,9,9,1
9,636,9,9,1
9,637,9,9,1
9,638,9,9,1
9,639,9,9,1
9,640,9,9,1
9,641,9,9,1
9,642,9,9,1
8,643,8,8,1
8,644,8,8,1
8,645,8,8,1
8,646,8,8,1
8,647,8,8,1
8,648,8,8,1
8,649,8,8,1
8,650,8,8,1
8,651,8,8,1
9,652,9,9,1
9,653,9,9,1
9,654,9,9,1
9,655,9,9,1
9,656,9,9,1
9,657,9,9,1
9,658,9,9,1
9,659,9,9,1
9,660,9,9,1
11,661,11,11,1
11,662,11,11,1
11,663,11,11,1
11,664,11,11,1
11,665,11,11,1
10,666,10,10,1
9,667,9,9,1
9,668,9,9,1
9,669,9,9,1
9,670,9,9,1
9,671,9,9,1
7,672,7,7,1
7,673,7,7,1
7,674,7,7,1
7,675,7,7,1
7,676,7,7,1
8,677,8,8,1
8,678,8,8,1
8,679,8,8,1
7,680,7,7,1
7,681,7,7,1
7,682,7,7,1
7,683,7,7,1
7,684,7,7,1
9,685,9,9,1
9,686,9,9,1
9,687,9,9,1
9,688,9,9,1
7,689,7,7,1
