seccion,edon,munn,disn2018,disn2012
1,27,1,6,1
2,27,1,6,1
3,27,1,6,1
4,27,1,6,1
5,27,1,6,1
6,27,1,6,1
7,27,1,6,1
8,27,1,6,1
9,27,1,6,1
10,27,1,6,1
11,27,1,6,1
12,27,1,6,1
13,27,1,6,1
14,27,1,6,1
15,27,1,6,1
16,27,1,6,1
17,27,1,6,1
18,27,1,6,1
19,27,1,6,1
20,27,1,6,1
21,27,1,6,1
22,27,1,6,1
23,27,1,6,1
24,27,1,6,1
25,27,1,6,1
26,NA,NA,NA,1
27,27,1,6,1
28,27,1,6,1
29,27,1,6,1
30,27,1,6,1
31,27,1,6,1
32,27,1,6,1
33,27,1,6,1
34,27,1,6,1
35,27,1,6,1
36,27,1,6,1
37,27,1,6,1
38,27,1,6,1
39,27,1,6,1
40,27,1,6,1
41,27,1,6,1
42,27,1,6,1
43,27,1,6,1
44,27,1,6,1
45,27,1,6,1
46,27,2,3,19
47,27,2,3,19
48,27,2,3,2
49,27,2,3,2
50,27,2,3,2
51,27,2,3,2
52,27,2,3,2
53,27,2,3,2
54,27,2,3,2
55,27,2,3,2
56,27,2,3,2
57,27,2,3,2
58,27,2,3,2
59,27,2,3,2
60,27,2,3,2
61,27,2,3,2
62,27,2,3,2
63,27,2,3,2
64,27,2,3,2
65,27,2,3,2
66,27,2,3,2
67,27,2,3,2
68,27,2,3,2
69,27,2,3,2
70,27,2,3,2
71,27,2,3,2
72,27,2,3,2
73,27,2,3,2
74,27,2,3,2
75,27,2,3,2
76,27,2,3,2
77,27,2,3,2
78,27,2,3,2
79,27,2,3,2
80,27,2,3,2
81,27,2,3,2
82,27,2,3,2
83,27,2,3,2
84,27,2,3,2
85,27,2,3,2
86,27,2,3,2
87,27,2,3,2
88,27,2,3,2
89,27,2,3,2
90,27,2,4,19
91,27,2,4,19
92,27,2,4,19
93,27,2,4,19
94,27,2,4,19
95,27,2,4,19
96,27,2,4,19
97,27,2,4,19
98,27,2,4,19
99,27,2,4,19
100,27,2,4,19
101,27,2,2,19
102,27,2,2,19
103,27,2,4,19
104,27,2,4,19
105,27,2,4,19
106,27,2,4,19
107,27,2,2,19
108,27,2,4,19
109,27,2,4,19
110,27,2,4,19
111,27,2,4,19
112,27,2,2,19
113,27,2,2,19
114,27,2,2,19
115,27,2,2,19
116,27,2,2,19
117,27,2,4,19
118,27,2,4,19
119,27,2,4,19
120,27,2,4,19
121,27,2,4,19
122,27,2,4,19
123,27,2,4,19
124,27,2,4,19
125,27,2,4,19
126,27,2,2,19
127,27,2,4,19
128,27,2,2,19
129,27,2,4,19
130,27,2,4,19
131,27,2,4,19
132,27,2,4,19
133,27,2,4,19
134,27,2,4,19
135,27,2,2,19
136,27,2,4,19
137,27,2,4,2
138,27,2,4,2
139,27,2,4,2
140,27,2,4,19
141,27,2,2,19
142,27,2,2,19
143,27,2,2,19
144,27,2,4,19
145,27,2,4,19
146,27,2,4,19
147,27,2,4,2
148,27,2,4,19
149,27,2,4,2
150,27,2,4,2
151,27,2,4,2
152,27,2,4,2
153,27,2,4,19
154,27,2,4,19
155,27,2,2,19
156,27,2,2,19
157,27,2,2,19
158,27,2,2,19
159,27,2,2,19
160,27,2,3,2
161,27,2,3,2
162,27,2,3,2
163,27,2,2,19
164,27,2,3,2
165,27,2,3,2
166,27,2,3,2
167,27,2,2,19
168,27,3,21,3
169,27,3,21,3
170,27,3,21,3
171,27,3,21,3
172,27,3,21,3
173,27,3,21,3
174,27,3,21,3
175,27,3,21,3
176,27,3,21,3
177,27,3,21,3
178,27,3,21,3
179,27,3,21,3
180,27,3,21,3
181,27,3,21,3
182,27,3,21,3
183,27,3,21,3
184,27,3,21,3
185,27,3,21,3
186,27,3,21,3
187,27,3,21,3
188,27,3,21,3
189,27,3,21,3
190,27,3,21,3
191,27,3,21,3
192,27,3,21,3
193,27,3,21,3
194,27,3,21,3
195,27,3,21,3
196,27,3,21,3
197,27,3,21,3
198,27,3,21,3
199,27,3,21,3
200,27,3,21,3
201,27,3,21,3
202,27,3,21,3
203,27,3,21,3
204,27,3,21,3
205,27,3,21,3
206,27,3,21,3
207,27,3,21,3
208,27,3,21,3
209,27,3,21,3
210,27,3,21,3
211,27,3,21,3
212,27,3,21,3
213,27,3,21,3
214,27,3,21,3
215,27,3,21,3
216,27,3,21,3
217,27,3,21,3
218,27,3,21,3
219,27,3,21,3
220,27,3,21,3
221,27,3,21,3
222,27,3,21,3
223,27,3,21,3
224,27,3,21,3
225,27,3,21,3
226,27,3,21,3
227,27,3,21,3
228,27,3,21,3
229,27,3,21,3
230,27,3,21,3
231,27,3,21,3
232,27,4,11,20
233,27,4,11,20
234,27,4,11,20
235,27,4,11,20
236,27,4,11,20
237,27,4,11,4
238,27,4,11,4
239,27,4,11,20
240,27,4,11,20
241,27,4,11,20
242,27,4,11,20
243,27,4,11,20
244,27,4,11,20
245,27,4,11,4
246,27,4,11,4
247,27,4,11,4
248,27,4,11,20
249,27,4,11,4
250,27,4,11,4
251,27,4,11,21
252,27,4,11,21
253,27,4,11,20
254,27,4,11,20
255,27,4,11,4
256,27,4,11,21
257,27,4,11,21
258,27,4,11,4
259,27,4,11,4
260,27,4,11,20
261,27,4,11,4
262,27,4,11,4
263,27,4,11,4
264,27,4,11,4
265,27,4,11,4
266,27,4,11,4
267,27,4,11,21
268,27,4,10,21
269,27,4,11,4
270,27,4,11,4
271,27,4,11,4
272,27,4,11,4
273,27,4,10,21
274,27,4,10,21
275,27,4,10,21
276,27,4,10,21
277,27,4,12,4
278,27,4,11,4
279,27,4,12,4
280,27,4,11,4
281,27,4,11,20
282,27,4,12,4
283,27,4,12,4
284,27,4,12,4
285,27,4,12,4
286,27,4,12,4
287,27,4,12,4
288,27,4,12,4
289,27,4,12,4
290,27,4,12,20
291,27,4,12,4
292,27,4,12,5
293,27,4,12,4
294,27,4,12,4
295,27,4,12,4
296,27,4,12,4
297,27,4,12,4
298,27,4,12,4
299,27,4,12,4
300,27,4,12,4
301,27,4,10,4
302,27,4,10,21
303,27,4,10,21
304,27,4,10,21
305,27,4,10,4
306,27,4,12,4
307,27,4,12,4
308,27,4,12,4
309,27,4,12,5
310,27,4,12,4
311,27,4,12,4
312,27,4,10,4
313,27,4,10,4
314,27,4,10,21
315,27,4,10,21
316,27,4,10,4
317,27,4,15,4
318,27,4,15,4
319,27,4,12,5
320,27,4,12,5
321,27,4,12,5
322,27,4,12,5
323,27,4,12,5
324,27,4,15,4
325,27,4,15,4
326,27,4,10,4
327,27,4,10,4
328,27,4,10,4
329,27,4,15,4
330,27,4,15,4
331,27,4,15,4
332,27,4,15,5
333,27,4,12,5
334,27,4,12,5
335,27,4,15,5
336,27,4,15,4
337,27,4,15,5
338,27,4,15,4
339,27,4,15,4
340,27,4,15,4
341,27,4,15,4
342,27,4,10,4
343,27,4,10,4
344,27,4,10,21
345,27,4,10,21
346,27,4,10,21
347,27,4,10,21
348,27,4,10,4
349,27,4,10,4
350,27,4,15,5
351,27,4,15,5
352,27,4,15,5
353,27,4,15,4
354,27,4,15,5
355,27,4,15,5
356,27,4,15,5
357,27,4,12,5
358,27,4,12,5
359,27,4,15,5
360,27,4,15,5
361,27,4,12,5
362,27,4,12,5
363,27,4,15,5
364,27,4,15,5
365,27,4,15,4
366,27,4,10,4
367,27,4,10,4
368,27,4,10,4
369,27,4,10,21
370,27,4,10,21
371,27,4,10,21
372,27,4,10,21
373,27,4,10,21
374,27,4,10,21
375,27,4,10,4
376,27,4,10,4
377,27,4,15,5
378,27,4,15,5
379,27,4,15,5
380,27,4,15,5
381,27,4,15,5
382,27,4,15,5
383,27,4,15,5
384,27,4,15,5
385,27,4,15,5
386,27,4,15,5
387,27,4,15,5
388,27,4,15,5
389,27,4,15,5
390,27,4,15,5
391,27,4,15,5
392,27,4,10,4
393,27,4,10,4
394,27,4,10,4
395,27,4,10,21
396,27,4,10,21
397,27,4,10,21
398,27,4,16,21
399,27,4,10,21
400,27,4,10,4
401,27,4,15,5
402,27,4,15,5
403,27,4,15,5
404,27,4,15,5
405,27,4,12,20
406,27,4,15,5
407,27,4,15,4
408,27,4,15,21
409,27,4,10,21
410,27,4,16,21
411,27,4,15,21
412,27,4,15,4
413,27,4,15,5
414,27,4,15,5
415,27,4,15,5
416,27,4,15,5
417,27,4,15,5
418,27,4,15,5
419,27,4,17,20
420,27,4,17,20
421,27,4,17,20
422,27,4,17,20
423,27,4,17,20
424,27,4,17,20
425,27,4,17,20
426,27,4,17,20
427,27,4,17,20
428,27,4,17,20
429,27,4,17,20
430,27,4,17,20
431,27,4,17,20
432,27,4,17,20
433,27,4,17,20
434,27,4,17,20
435,27,4,17,20
436,27,4,17,20
437,27,4,17,20
438,27,4,17,20
