Entidad|Distrito|Distrito_nuevo|Municipio|MUNICIPIO_VIRTUAL|Seccion|SECCION_VIRTUAL
19|1|2|5||39|
19|1|2|5||40|
19|1|2|5||41|
19|1|2|5||42|
19|1|2|5||43|
19|1|2|5||44|
19|1|2|5||45|
19|1|2|5||46|
19|1|2|5||47|
19|1|2|5||48|
19|1|2|5||49|
19|1|2|5||50|
19|1|2|5||51|
19|1|2|5||52|
19|1|2|5||53|
19|1|2|5||54|
19|1|2|5||55|
19|1|2|5||56|
19|1|2|5||57|
19|1|2|5||58|
19|1|2|5||59|
19|1|2|5||60|
19|1|2|5||61|
19|1|2|5||62|
19|1|2|8||168|
19|1|2|8||169|
19|1|2|8||170|
19|1|2|8||171|
19|1|2|18||346|
19|1|2|18||347|
19|1|2|18||348|
19|1|2|18||349|
19|1|2|18||350|
19|1|2|18||351|
19|1|2|18||352|
19|1|2|18||353|
19|1|2|18||354|
19|1|2|18||355|
19|1|12|19||356|
19|1|12|19||357|
19|1|12|19||358|
19|1|12|19||359|
19|1|12|19||360|
19|1|12|19||361|
19|1|12|19||362|
19|1|12|19||363|
19|1|12|19||364|
19|1|12|19||365|
19|1|12|19||366|
19|1|12|19||367|
19|1|12|19||368|
19|1|12|19||369|
19|1|12|19||370|
19|1|12|19||371|
19|1|12|19||372|
19|1|12|19||373|
19|1|12|19||374|
19|1|12|19||375|
19|1|12|19||376|
19|1|12|19||377|
19|1|12|19||378|
19|1|12|19||379|
19|1|12|19||380|
19|1|12|19||381|
19|1|12|19||382|
19|1|12|19||383|
19|1|12|19||384|
19|1|12|19||385|
19|1|12|19||386|
19|1|12|19||387|
19|1|12|19||388|
19|1|12|19||389|
19|1|12|19||390|
19|1|12|19||391|
19|1|12|19||392|
19|1|12|19||393|
19|1|12|19||394|
19|1|12|19||395|
19|1|12|19||396|
19|1|12|19||397|
19|1|12|19||398|
19|1|12|19||399|
19|1|12|19||400|
19|1|12|19||401|
19|1|12|19||402|
19|1|12|19||403|
19|1|12|19||404|
19|1|12|19||405|
